year,com,rec,total
1963,8763,,8763
1964,6548,,6548
1965,5392,,5392
1966,7608,,7608
1967,3004,,3004
1968,11845,,11845
1969,75014,,75014
1970,14059,,14059
1971,39577,,39577
1972,42851,,42851
1973,29082,,29082
1974,42948,,42948
1975,80407,,80407
1976,88976,,88976
1977,115029,,115029
1978,155044,,155044
1979,155858,,155858
1980,183563,,183563
1981,241939,568104,810043
1982,230449,3380188,3610637
1983,286971,2014584,2301555
1984,544231,955341,1499572
1985,791502,1322598,2114100
1986,1128608,7540372,8668980
1987,1560489,5240448,6800937
1988,2076178,2500914,4577092
1989,1967679,4562655,6530334
1990,1263995,689549,1953544
1991,1782119,2891470,4673589
1992,1062357,2659496,3721853
1993,1623701,3498268,5121969
1994,1287226,1562352,2849578
1995,1243112,799182,2042294
1996,1246199,1000268,2246467
1997,1069336,1208004,2277340
1998,655754,850410,1506164
1999,731286,1291560,2022846
2000,841765,1009936,1851701
2001,687211,1153787,1840998
2002,746287,1847883,2594170
2003,955418,2416946,3372364
2004,939633,2434015,3373648
2005,714405,1517826,2232231
2006,587007,1746365,2333372
2007,577466,1090952,1668418
2008,440988,1344885,1785873
2009,601446,1456088,2057534
2010,534095,1482615,2016710
2011,508871,946467,1455338
2012,308334,1326687,1635021
2013,457879,1698275,2156154
2014,486769,1161242,1648011
2015,459532,1375648,1835180
2016,437390,1459962,1897352
2017,461701,839140,1300841
